nao_finalizado,horas_esperadas,preco
0,75.0,6985.0
1,0.0,4325.293458459349
0,87.0,14205.0
1,13.0,100.0
0,2.0,202.0
0,49.0,1096.0
1,75.0,1261.0
1,98.0,17515.0
1,41.0,207.0
0,93.0,16117.0
1,99.0,3737.0
0,31.0,221.0
0,87.0,13207.0
0,75.0,5324.0
0,41.0,581.0
1,7.0,197.0
1,73.0,1741.0
1,10.0,190.0
1,24.0,153.0
0,76.0,5707.0
0,15.0,164.0
1,37.0,303.0
0,39.0,480.0
1,40.0,287.0
1,0.0,1769.2765083475003
1,64.0,1152.0
0,0.0,1230.2293159800743
0,70.0,3761.0
1,0.0,4570.990484416986
1,1.0,202.0
0,70.0,1390.0
1,66.0,4029.0
1,7.0,163.0
0,71.0,5606.0
0,35.0,387.0
1,99.0,13076.0
0,10.0,275.0
0,91.0,16764.0
0,72.0,4433.0
1,47.0,980.0
0,78.0,8679.0
1,38.0,199.0
0,44.0,652.0
1,81.0,8206.0
0,0.0,961.2176847168561
0,32.0,305.0
0,0.0,953.2360283536276
0,29.0,330.0
1,5.0,237.0
1,58.0,712.0
0,95.0,16377.0
1,88.0,9364.0
1,0.0,754.7253138438638
1,12.0,118.0
0,84.0,9735.0
1,82.0,4428.0
0,27.0,212.0
0,77.0,8078.0
1,30.0,193.0
1,60.0,2605.0
0,78.0,7812.0
1,58.0,1771.0
0,42.0,613.0
0,5.0,225.0
1,94.0,5085.0
0,22.0,315.0
1,26.0,168.0
0,55.0,1737.0
1,0.0,3304.1492833568823
1,0.0,318.04386763946525
1,52.0,313.0
1,48.0,198.0
0,0.0,4169.295769959677
0,97.0,6089.0
1,66.0,874.0
1,0.0,1591.100660180181
0,74.0,5430.0
1,82.0,10549.0
1,10.0,190.0
0,40.0,595.0
1,87.0,3223.0
0,63.0,3223.0
1,12.0,193.0
1,86.0,11996.0
1,5.0,161.0
0,37.0,488.0
1,81.0,5390.0
1,50.0,318.0
1,80.0,1976.0
1,17.0,107.0
0,45.0,717.0
1,0.0,3854.8564214775915
1,46.0,494.0
1,80.0,2408.0
0,0.0,4719.32955568695
0,51.0,1089.0
1,14.0,142.0
0,84.0,11675.0
0,8.0,239.0
1,14.0,237.0
0,81.0,9746.0
0,16.0,243.0
1,89.0,1779.0
1,66.0,1206.0
0,94.0,20346.0
0,30.0,255.0
1,3.0,133.0
0,15.0,252.0
1,77.0,6350.0
0,12.0,264.0
0,0.0,1127.2430436451316
0,35.0,214.0
1,85.0,5365.0
1,70.0,1523.0
1,84.0,6438.0
1,63.0,1962.0
1,40.0,491.0
0,41.0,497.0
0,41.0,542.0
1,0.0,3765.1164123234375
1,0.0,2562.092610080595
1,58.0,1334.0
1,0.0,3362.6792287239296
1,83.0,4184.0
1,5.0,210.0
1,32.0,182.0
1,80.0,9861.0
1,79.0,630.0
1,88.0,8081.0
0,83.0,11040.0
1,60.0,959.0
1,2.0,114.0
1,63.0,1752.0
0,29.0,278.0
0,3.0,297.0
1,26.0,148.0
0,27.0,299.0
1,14.0,134.0
1,47.0,553.0
0,41.0,454.0
0,17.0,281.0
1,66.0,1417.0
1,0.0,4391.185227452084
1,11.0,107.0
1,0.0,2154.3884852930964
1,31.0,240.0
1,12.0,150.0
1,23.0,172.0
1,84.0,968.0
0,0.0,1325.954092569658
1,96.0,19606.0
0,32.0,377.0
0,90.0,17635.0
0,2.0,179.0
1,74.0,2622.0
1,81.0,6958.0
1,40.0,246.0
1,16.0,122.0
0,96.0,20889.0
1,51.0,719.0
1,52.0,1409.0
0,42.0,477.0
1,13.0,119.0
0,22.0,309.0
0,59.0,1660.0
1,31.0,180.0
1,61.0,1106.0
1,97.0,4274.0
1,72.0,5738.0
0,84.0,9999.0
1,6.0,297.0
1,65.0,1623.0
1,75.0,726.0
1,88.0,2883.0
1,58.0,463.0
0,43.0,408.0
0,52.0,1427.0
1,22.0,172.0
1,74.0,2820.0
0,62.0,589.0
0,50.0,872.0
1,62.0,685.0
1,1.0,236.0
1,56.0,822.0
0,10.0,238.0
0,0.0,582.4473609287073
0,93.0,19905.0
1,2.0,103.0
1,0.0,1570.861390396315
0,16.0,102.0
1,22.0,155.0
0,88.0,11816.0
1,1.0,102.0
0,16.0,184.0
0,94.0,18254.0
0,92.0,298.0
0,78.0,7118.0
0,0.0,239.27402930073322
0,87.0,8140.0
1,27.0,332.0
0,5.0,236.0
0,58.0,1626.0
1,53.0,1224.0
0,87.0,13027.0
1,71.0,2715.0
0,9.0,128.0
1,66.0,2428.0
0,82.0,10576.0
1,68.0,803.0
0,79.0,7048.0
1,48.0,260.0
1,20.0,185.0
1,14.0,125.0
0,37.0,448.0
0,0.0,1797.5453800563253
0,0.0,397.7771449643907
0,75.0,7402.0
0,2.0,231.0
0,67.0,3468.0
0,59.0,2392.0
0,93.0,7824.0
0,97.0,21987.0
0,57.0,1817.0
1,63.0,905.0
1,93.0,12163.0
0,82.0,10355.0
0,68.0,3085.0
1,43.0,374.0
1,77.0,2536.0
1,92.0,3772.0
1,81.0,8159.0
1,5.0,184.0
0,28.0,247.0
1,87.0,11521.0
1,76.0,535.0
0,32.0,397.0
1,23.0,318.0
0,9.0,214.0
1,66.0,2347.0
0,0.0,3102.2766577695993
0,28.0,240.0
0,44.0,621.0
1,0.0,3716.9071775129623
1,81.0,4122.0
1,0.0,3175.997256129182
0,88.0,11846.0
0,43.0,604.0
0,0.0,895.4768453966768
1,17.0,116.0
0,2.0,271.0
0,8.0,218.0
1,68.0,2507.0
0,12.0,219.0
0,9.0,114.0
0,26.0,304.0
0,13.0,214.0
1,31.0,301.0
1,37.0,278.0
0,39.0,202.0
0,64.0,3411.0
1,10.0,195.0
0,83.0,10110.0
0,78.0,8684.0
0,0.0,794.3018189826435
1,10.0,162.0
1,26.0,153.0
1,5.0,253.0
0,17.0,142.0
1,0.0,4379.552775756934
1,70.0,1531.0
0,74.0,6055.0
0,0.0,222.7725681317315
1,43.0,159.0
0,31.0,332.0
0,27.0,278.0
0,67.0,3210.0
0,65.0,2932.0
1,8.0,118.0
0,18.0,236.0
0,40.0,600.0
0,71.0,3814.0
1,3.0,102.0
0,19.0,277.0
1,66.0,594.0
1,13.0,171.0
1,86.0,5642.0
1,95.0,8864.0
0,38.0,385.0
0,53.0,1063.0
0,35.0,378.0
1,55.0,1530.0
1,2.0,121.0
1,13.0,101.0
1,87.0,450.0
0,36.0,413.0
1,0.0,3194.443973243127
0,10.0,162.0
0,0.0,3983.393929521118
1,93.0,5905.0
1,58.0,1089.0
1,0.0,4967.028172971751
1,51.0,795.0
1,3.0,168.0
0,19.0,302.0
0,13.0,270.0
1,71.0,4711.0
1,79.0,6729.0
0,75.0,6958.0
0,16.0,257.0
0,80.0,8424.0
1,27.0,169.0
0,86.0,10650.0
0,76.0,5580.0
0,54.0,900.0
1,6.0,133.0
1,17.0,223.0
0,43.0,496.0
0,0.0,655.0740317576401
1,25.0,201.0
0,95.0,8210.0
1,41.0,367.0
0,99.0,21787.0
1,75.0,4497.0
1,35.0,341.0
1,80.0,9245.0
0,39.0,565.0
1,11.0,149.0
1,52.0,1083.0
0,0.0,3782.612247892028
0,100.0,22715.0
0,17.0,203.0
1,65.0,131.0
0,65.0,3274.0
1,51.0,1240.0
0,62.0,1536.0
0,22.0,225.0
1,68.0,3793.0
1,47.0,456.0
0,0.0,3434.158677393198
0,15.0,276.0
0,80.0,9634.0
0,57.0,2098.0
0,86.0,10417.0
0,60.0,1955.0
0,40.0,289.0
1,15.0,243.0
0,45.0,599.0
1,93.0,4232.0
0,0.0,2174.4930082671153
1,16.0,177.0
0,67.0,2973.0
0,18.0,266.0
1,51.0,383.0
0,91.0,14813.0
0,52.0,1126.0
0,8.0,242.0
0,25.0,173.0
0,90.0,14929.0
1,31.0,154.0
0,51.0,1207.0
0,40.0,527.0
0,31.0,331.0
1,81.0,4043.0
0,16.0,240.0
0,22.0,238.0
1,49.0,474.0
1,73.0,1228.0
1,59.0,363.0
0,10.0,217.0
1,75.0,1925.0
0,75.0,5309.0
0,39.0,401.0
0,24.0,237.0
1,51.0,526.0
0,31.0,300.0
0,58.0,1937.0
0,13.0,217.0
1,47.0,805.0
0,80.0,7947.0
1,50.0,962.0
0,84.0,1135.0
1,22.0,159.0
1,90.0,10726.0
0,83.0,9308.0
1,45.0,324.0
0,23.0,303.0
0,3.0,284.0
1,35.0,177.0
1,33.0,202.0
0,92.0,5072.0
1,75.0,268.0
0,41.0,534.0
0,2.0,275.0
1,42.0,678.0
0,95.0,20083.0
1,100.0,14682.0
0,36.0,340.0
1,70.0,1870.0
1,0.0,4024.3172422623466
0,19.0,281.0
1,24.0,145.0
0,44.0,717.0
1,66.0,2712.0
1,63.0,762.0
1,26.0,192.0
0,0.0,3764.9651858316697
1,20.0,106.0
1,53.0,567.0
0,22.0,251.0
1,52.0,678.0
1,71.0,646.0
1,64.0,340.0
0,0.0,3266.5101739892557
1,76.0,2804.0
0,28.0,236.0
0,80.0,7763.0
0,0.0,1478.2781315865
0,7.0,191.0
0,77.0,6036.0
1,0.0,2484.8807093685236
0,100.0,27262.0
0,0.0,1594.675944962755
0,18.0,263.0
1,48.0,620.0
0,62.0,2402.0
0,63.0,2694.0
1,16.0,196.0
0,98.0,27343.0
0,65.0,3379.0
1,20.0,198.0
0,65.0,3774.0
1,0.0,3034.3064854950358
1,52.0,390.0
1,78.0,3396.0
0,30.0,255.0
0,15.0,226.0
0,10.0,282.0
0,19.0,286.0
1,27.0,301.0
0,0.0,2261.12367882477
0,5.0,204.0
1,79.0,6739.0
0,92.0,19661.0
1,0.0,3249.082261263539
1,17.0,261.0
0,55.0,1769.0
0,17.0,209.0
0,81.0,8483.0
0,54.0,1258.0
1,75.0,839.0
1,1.0,127.0
1,81.0,601.0
1,77.0,8404.0
0,77.0,5961.0
0,81.0,3051.0
1,2.0,258.0
0,9.0,117.0
1,75.0,4225.0
0,3.0,246.0
1,42.0,302.0
1,24.0,180.0
1,6.0,112.0
0,50.0,1041.0
0,31.0,348.0
0,0.0,1498.9994943221848
1,56.0,1353.0
1,46.0,183.0
0,66.0,3214.0
0,0.0,598.4894014764734
0,100.0,28398.0
0,68.0,4294.0
0,4.0,297.0
0,83.0,12066.0
1,20.0,127.0
0,87.0,14838.0
1,62.0,380.0
0,30.0,327.0
0,13.0,241.0
0,27.0,325.0
0,50.0,947.0
0,72.0,4818.0
0,45.0,435.0
1,24.0,176.0
1,60.0,701.0
0,16.0,270.0
1,77.0,1184.0
0,36.0,437.0
1,82.0,3211.0
0,87.0,8320.0
1,1.0,253.0
0,84.0,9445.0
1,26.0,250.0
1,57.0,1281.0
0,0.0,2434.3394787588013
1,88.0,9015.0
1,0.0,1872.929545879337
1,29.0,128.0
0,79.0,8061.0
1,99.0,22251.0
0,22.0,224.0
0,78.0,7287.0
1,64.0,1657.0
0,33.0,400.0
0,0.0,3274.665011700173
0,27.0,328.0
0,73.0,4453.0
0,17.0,227.0
0,59.0,2410.0
0,90.0,12458.0
0,2.0,271.0
0,31.0,366.0
1,8.0,187.0
0,16.0,150.0
1,86.0,5815.0
1,69.0,504.0
0,73.0,4382.0
0,46.0,783.0
1,0.0,2906.2624728527358
1,51.0,423.0
0,82.0,10134.0
0,85.0,11109.0
0,6.0,287.0
0,92.0,15511.0
1,0.0,1758.0311718895261
0,34.0,356.0
1,43.0,231.0
0,73.0,5312.0
0,88.0,12475.0
0,0.0,4005.6641564365427
0,29.0,254.0
1,7.0,290.0
0,81.0,10455.0
1,46.0,280.0
1,0.0,2908.9573183741795
1,25.0,132.0
1,18.0,202.0
1,0.0,1416.1557437876627
1,0.0,1909.9187688257248
0,0.0,4884.155215895289
0,0.0,921.1093312427336
0,76.0,6290.0
0,0.0,3818.4911792578655
1,93.0,6082.0
1,0.0,745.7672772919324
0,33.0,354.0
0,58.0,1899.0
1,17.0,271.0
1,80.0,3857.0
0,30.0,343.0
0,80.0,9228.0
1,65.0,592.0
0,2.0,166.0
0,1.0,215.0
1,1.0,145.0
0,33.0,370.0
1,3.0,190.0
1,23.0,227.0
1,43.0,325.0
0,33.0,302.0
0,34.0,336.0
0,16.0,232.0
0,51.0,1132.0
0,1.0,271.0
0,63.0,3253.0
1,97.0,8279.0
0,57.0,1470.0
1,34.0,217.0
0,11.0,217.0
0,39.0,264.0
1,8.0,145.0
1,21.0,182.0
0,65.0,3461.0
0,10.0,261.0
0,80.0,7229.0
1,100.0,16594.0
0,90.0,5259.0
1,0.0,4243.178061763712
1,71.0,2613.0
1,0.0,3519.6207702721117
1,0.0,1137.56607913293
0,77.0,6852.0
0,32.0,400.0
0,55.0,1702.0
0,84.0,2431.0
1,54.0,292.0
1,45.0,683.0
0,14.0,201.0
0,60.0,2110.0
0,41.0,613.0
1,0.0,546.839542404739
1,81.0,1260.0
1,15.0,139.0
1,70.0,2416.0
1,81.0,6071.0
0,47.0,733.0
0,89.0,12175.0
0,35.0,395.0
1,25.0,186.0
1,48.0,410.0
0,0.0,1451.657002214798
0,0.0,609.8782203832947
0,100.0,27738.0
0,15.0,299.0
0,65.0,1175.0
0,74.0,5715.0
1,84.0,8293.0
1,4.0,129.0
0,0.0,2636.0655134582857
0,31.0,341.0
0,75.0,5743.0
1,58.0,939.0
0,3.0,261.0
0,59.0,1696.0
1,64.0,854.0
0,34.0,378.0
0,13.0,154.0
1,23.0,165.0
1,0.0,902.8770625424778
1,73.0,205.0
1,12.0,118.0
0,67.0,3063.0
1,5.0,142.0
1,4.0,145.0
1,20.0,294.0
1,47.0,456.0
0,29.0,345.0
1,44.0,343.0
0,48.0,1056.0
0,0.0,4859.400185787001
0,8.0,253.0
1,73.0,295.0
0,26.0,237.0
1,84.0,11750.0
1,84.0,1983.0
0,100.0,29820.0
1,95.0,20648.0
1,70.0,305.0
1,99.0,4691.0
0,52.0,1440.0
0,43.0,648.0
1,49.0,652.0
1,33.0,323.0
0,43.0,506.0
0,0.0,4735.923708388904
1,23.0,137.0
1,55.0,1778.0
0,57.0,2027.0
0,55.0,852.0
1,2.0,144.0
0,59.0,2337.0
1,39.0,121.0
0,41.0,439.0
0,0.0,1386.3718791931844
0,49.0,1078.0
1,23.0,112.0
0,23.0,297.0
0,99.0,21630.0
0,82.0,10067.0
1,47.0,709.0
0,0.0,3828.874073729361
0,14.0,265.0
1,61.0,1169.0
1,74.0,1399.0
0,52.0,1140.0
0,52.0,1379.0
1,74.0,2816.0
1,0.0,4373.540626517824
1,35.0,198.0
0,44.0,260.0
0,94.0,15314.0
0,54.0,1566.0
0,4.0,147.0
1,35.0,250.0
1,70.0,1678.0
0,91.0,15344.0
0,0.0,4152.640553611902
0,77.0,8294.0
0,0.0,3077.047667487689
0,25.0,149.0
1,12.0,189.0
0,89.0,8408.0
1,0.0,549.8978861489263
1,62.0,2373.0
1,89.0,1533.0
1,1.0,196.0
0,64.0,2492.0
0,14.0,219.0
0,73.0,5578.0
0,64.0,2799.0
1,0.0,1395.3710606076713
0,0.0,1056.0658219048903
1,9.0,182.0
0,69.0,3461.0
0,65.0,2881.0
0,84.0,11112.0
1,89.0,2707.0
0,63.0,2380.0
1,100.0,7327.0
0,31.0,160.0
1,16.0,200.0
1,0.0,4169.156006878811
0,89.0,12351.0
1,47.0,621.0
0,0.0,2364.3714894614122
0,60.0,2100.0
1,34.0,254.0
0,29.0,336.0
1,91.0,13054.0
0,70.0,3970.0
1,36.0,183.0
0,62.0,528.0
1,0.0,2044.893361146502
1,91.0,17564.0
1,3.0,101.0
1,10.0,171.0
0,71.0,4957.0
1,21.0,118.0
0,57.0,1857.0
0,43.0,592.0
0,82.0,8422.0
0,31.0,332.0
0,69.0,2425.0
0,58.0,1642.0
0,98.0,25332.0
0,58.0,2122.0
0,86.0,11029.0
1,77.0,2582.0
0,33.0,339.0
1,37.0,200.0
0,79.0,1849.0
1,43.0,426.0
0,99.0,23017.0
0,60.0,984.0
0,0.0,1975.524266284726
0,0.0,2535.3382757013746
1,8.0,150.0
0,0.0,852.8089159376821
1,23.0,128.0
1,95.0,4156.0
1,72.0,1451.0
1,2.0,127.0
1,87.0,2176.0
1,21.0,111.0
1,82.0,4872.0
0,74.0,5834.0
1,49.0,550.0
0,64.0,446.0
0,37.0,479.0
0,55.0,1552.0
0,11.0,258.0
0,58.0,2035.0
0,98.0,26562.0
0,41.0,595.0
1,93.0,1815.0
1,91.0,2024.0
1,15.0,247.0
0,40.0,309.0
1,73.0,1884.0
0,74.0,6304.0
1,0.0,4575.242496708928
0,0.0,4022.958549984568
0,0.0,3616.7966613956796
0,57.0,1957.0
1,77.0,1178.0
1,64.0,1965.0
1,36.0,178.0
1,20.0,193.0
0,98.0,22012.0
0,36.0,330.0
1,29.0,175.0
1,78.0,4749.0
0,66.0,4056.0
1,15.0,149.0
0,98.0,22998.0
1,81.0,4697.0
1,84.0,6442.0
1,80.0,5548.0
0,95.0,17244.0
1,0.0,1305.0943495801946
0,79.0,7089.0
0,64.0,3058.0
0,65.0,2696.0
1,5.0,134.0
1,5.0,141.0
0,6.0,268.0
1,30.0,162.0
1,0.0,3729.4167246492884
0,55.0,1463.0
1,62.0,1646.0
1,41.0,271.0
0,37.0,495.0
0,19.0,207.0
1,55.0,1060.0
1,0.0,4868.2539412477045
0,67.0,3149.0
1,73.0,3504.0
0,28.0,275.0
0,78.0,8113.0
1,29.0,152.0
1,88.0,6288.0
0,78.0,7197.0
1,40.0,205.0
1,19.0,243.0
1,88.0,3563.0
0,65.0,2815.0
0,3.0,300.0
0,25.0,296.0
0,19.0,266.0
0,87.0,4281.0
1,89.0,2362.0
0,78.0,8175.0
1,7.0,103.0
0,62.0,2478.0
1,82.0,2256.0
0,32.0,145.0
1,56.0,1735.0
1,79.0,2015.0
0,72.0,4523.0
1,47.0,491.0
1,95.0,10312.0
1,13.0,172.0
0,26.0,185.0
0,53.0,1183.0
